s,C_curt_MW,weight,weighted_C
0.0,52.0,0.3333333333333333,17.333333333333332
1.0,25.0,0.3333333333333333,8.333333333333332
2.0,18.0,0.3333333333333333,6.0
,95.0,,31.666666666666664
