n,trials,n_ok,mean_time,var_time,mean_iters,mean_cuts,fail_rate
10,30,30,0.018049152692159016,9.663171169708878e-05,1.1333333333333333,0.13333333333333333,0.0
20,30,30,0.03929320971171061,0.0005449101764169325,1.1333333333333333,0.13333333333333333,0.0
30,30,30,0.08486138979593913,0.006661182897868357,1.3,0.3,0.0
40,30,30,0.15940205256144205,0.022739466029324584,1.4666666666666666,0.4666666666666667,0.0
50,30,30,0.24834973017374676,0.06231145107214667,1.5666666666666667,0.5666666666666667,0.0
60,30,30,0.4785892168680827,0.15837669365509754,1.4,0.4,0.0
70,30,30,1.4489083846410116,4.188733161371626,1.9333333333333333,0.9333333333333333,0.0
80,30,30,0.978244400024414,0.6639002239554679,1.3,0.3,0.0
90,30,30,6.874647998809815,798.8394974903292,1.7333333333333334,0.7333333333333333,0.0
100,30,30,1.6880549510320029,11.632830494558398,1.9333333333333333,0.9333333333333333,0.0
110,30,29,23.310447216033936,6275.715205289725,2.1724137931034484,1.1724137931034482,0.033333333333333326
120,30,30,486.8349843263626,6104684.190607199,1.8666666666666667,0.8666666666666667,0.0
130,30,30,3.8179163853327434,25.666329964610334,2.533333333333333,1.5333333333333334,0.0
140,30,30,20.345058051745095,8946.244682824117,1.6666666666666667,0.6666666666666666,0.0
