grid,bs_nodes,bs_F,bs_LB,bs_certified,F_opt,master_LB,gap_pct,certified,hit_time_limit,termination_reason,bs_time_s,decomp_time_s,total_time_s,n_lines_changed,ce_changes
39,250,0.9016088736790557,0.0,False,0.7060650971284356,0.7059963598662762,0.009735258468226924,True,False,certified_optimal,4076.323122739792,387.04444766044617,4463.367689609528,1,L13:+2.819
14,250,4.466791049634754,0.0,False,4.466791049634754,1.7024489686293407,61.88653219477216,False,True,global_time_limit,924.9457700252533,7203.863486289978,8128.8092975616455,6,L0:+1.250; L2:+0.812; L6:+3.250; L14:+7.800; L15:+7.800; L18:+3.900
57,250,12.477946383633357,0.0,False,10.390578061107657,10.389976116376943,0.005793178465861525,True,False,certified_optimal,3549.7139813899994,5673.27879524231,9222.992916584015,2,L20:+19.898; L69:+33.662
14,300,2.3823115086093165,2.3823115086093165,True,2.382311508609317,1.8073032099893283,24.136570576181782,False,True,global_time_limit,0.0012006759643554688,7203.728158712387,7203.729381799698,3,L14:+6.825; L15:+7.556; L18:+2.925
39,100,0.6011970666441944,0.0,False,0.4970511223007821,0.4970097999200789,0.00831350717244653,True,False,certified_optimal,896.7901327610016,432.90036368370056,1329.690556526184,1,L13:+1.984
14,100,inf,0.0,False,44.594981635036476,2.562150922754216,94.25462052272438,False,True,global_time_limit,396.0023624897003,3607.596580028534,4003.599007129669,6,L0:+40.000; L2:+26.000; L6:+26.000; L14:+7.800; L15:+7.800; L18:+7.800
57,100,12.391209694866735,0.0,False,11.499062057289166,11.498088564651681,0.008465843845651803,True,False,certified_optimal,1042.7540216445923,3470.297192811966,4513.051285982132,3,L20:+26.000; L69:+34.544; L73:+1.349
